id,title,url,rank
44836414,The BLS Can't Be Replaced by the Private Sector,https://www.bloomberg.com/opinion/articles/2025-08-08/the-bls-can-t-be-replaced-by-the-private-sector,21
44836414,The BLS Can't Be Replaced by the Private Sector,https://www.bloomberg.com/opinion/articles/2025-08-08/the-bls-can-t-be-replaced-by-the-private-sector,21
44791923,FLUX.1-Krea and the Rise of Opinionated Models,https://www.dbreunig.com/2025/08/04/the-rise-of-opinionated-models.html,22
44791923,FLUX.1-Krea and the Rise of Opinionated Models,https://www.dbreunig.com/2025/08/04/the-rise-of-opinionated-models.html,22
44827794,"GPT-5: Key characteristics, pricing and system card",https://simonwillison.net/2025/Aug/7/gpt-5/,23
44827794,"GPT-5: Key characteristics, pricing and system card",https://simonwillison.net/2025/Aug/7/gpt-5/,23
44828884,OpenAI's new open-source model is basically Phi-5,https://www.seangoedecke.com/gpt-oss-is-phi-5/,24
44828884,OpenAI's new open-source model is basically Phi-5,https://www.seangoedecke.com/gpt-oss-is-phi-5/,24
44785144,What Is Popover=Hint?,https://una.im/popover-hint/,25
44785144,What Is Popover=Hint?,https://una.im/popover-hint/,25
44827101,GPT-5 for Developers,https://openai.com/index/introducing-gpt-5-for-developers,26
44827101,GPT-5 for Developers,https://openai.com/index/introducing-gpt-5-for-developers,26
44784570,Virtual Linux Devices on ARM64,https://underjord.io/500-virtual-linux-devices-on-arm64.html,27
44784570,Virtual Linux Devices on ARM64,https://underjord.io/500-virtual-linux-devices-on-arm64.html,27
44833932,A love letter to my future employer (2020),https://catzkorn.dev/blog/love-letter/,28
44833932,A love letter to my future employer (2020),https://catzkorn.dev/blog/love-letter/,28
44833655,Turn any website into an API,https://www.parse.bot,29
44833655,Turn any website into an API,https://www.parse.bot,29
44828504,Encryption made for police and military radios may be easily cracked,https://www.wired.com/story/encryption-made-for-police-and-military-radios-may-be-easily-cracked-researchers-find/,30
44828504,Encryption made for police and military radios may be easily cracked,https://www.wired.com/story/encryption-made-for-police-and-military-radios-may-be-easily-cracked-researchers-find/,30
